Sr_No,Cust_ID,FCC_FCR_ID,Application_No,Cust_Name,Segment,Application_Status,Type_of_Workflow,Type_of_case,Proj_Finance (Y/N),Zone,RM_Name,RM_ID,Analyst_Name,RBH_Name,RCH_Name,JD/Committee,Final_Approval_Month,#_Iterations,Business_Supervisory_Review_(Y/N),Credit_Supervisory_Review_(Y/N),Date_of_Input,Date_of_Login,Date_of_Circulation,Date_of_BH_Approval,Date_of_CH_Approval,Date_of_Final_Approval,CAM_Creation_TAT,Credit_Review_TAT,Business_Review_TAT,Total_Review_TAT,Committee_TAT,RM_TAT,Final_TAT,Overall_TAT,Current_Exposure,Proposed_Exposure,CAM_Finalization_InDate,CAM_Finalization_TAT
1,CTPT-8006,NA,APP-1000,Berry LLC,Education,APPROVE,APPWF_RSTBB,Restructuring,Y,NORTH,Derek Hamilton,RM8768,Scott Fox,Christopher Hawkins,Joan Barry,JDC,August,2,Y,N,19-02-2019,19-02-2019,20-02-2019,20-02-2019,22-02-2019,26-02-2019,9,1,9,19,2,5,26,27,4703382,7045463,28-02-2019,2
2,CTPT-3239,NA,APP-1001,"Jones, Sawyer and Gray",Manufacturing,APPROVE,APPWF_RSTBB,Renewal,N,CENTRAL,Sarah Weaver,RM4335,Stephanie Pearson,Karen Nelson,Joan Barry,BOD,September,10,Y,Y,12-05-2022,13-05-2022,16-05-2022,18-05-2022,18-05-2022,22-05-2022,3,8,5,16,4,3,23,26,1446407,5450409,25-05-2022,3
3,CTPT-8994,NA,APP-1002,Johnson-Jackson,Textiles,PENDING,APPWF_RSTBB,Restructuring,N,CENTRAL,Jon Wiggins,RM6997,Scott Fox,Teresa Aguilar,Harry Harris,JDC,December,8,Y,Y,14-02-2023,15-02-2023,18-02-2023,19-02-2023,NA,NA,4,7,6,17,2,5,24,26,93433636,97361028,NA,NA
4,CTPT-9670,NA,APP-1003,"Adams, Williams and Craig",Retail,REJECT,APPWF_RSTBB,Renewal,Y,SOUTH,Sandy Gutierrez,RM1759,Lisa Patel,Shannon Jackson,Richard Ferguson,FRC,March,10,N,N,06-11-2022,08-11-2022,11-11-2022,14-11-2022,NA,NA,9,9,7,25,5,2,32,34,85753895,87311491,NA,NA
5,CTPT-8396,NA,APP-1004,Barnes-Potts,Textiles,REJECT,APPWF_RSTBB,Restructuring,N,WEST,Howard Myers,RM1444,Monica Richardson,Alexander Ramirez,Joseph Hicks,BOD,June,8,Y,N,02-01-2025,03-01-2025,04-01-2025,07-01-2025,NA,NA,9,10,6,25,4,5,34,35,51867269,52527838,NA,NA
6,CTPT-2283,NA,APP-1005,Bruce-Ford,Automobile,APPROVE,APPWF_RSTBB,Restructuring,N,EAST,Sarah Weaver,RM1111,Leonard Young,Teresa Aguilar,Joan Barry,BOD,December,5,N,Y,24-10-2022,24-10-2022,27-10-2022,31-10-2022,02-11-2022,06-11-2022,3,7,10,20,3,3,26,26,99640710,101099178,06-11-2022,0
7,CTPT-5453,FCR-648,APP-1006,"Werner, Barker and Barnes",Manufacturing,APPROVE,APPWF_BGNBB,Restructuring,N,CENTRAL,Derek Hamilton,RM3571,Ian Sweeney,Christopher Hawkins,Richard Ferguson,FRC,March,2,Y,N,09-06-2024,09-06-2024,09-06-2024,13-06-2024,15-06-2024,17-06-2024,8,9,2,19,4,4,27,27,28266701,29356475,20-06-2024,3
8,CTPT-8520,NA,APP-1007,Gomez-Moore,Retail,APPROVE,APPWF_BGNBB,Renewal,Y,NORTH,Franklin Harrell DDS,RM3850,Megan Madden,Teresa Aguilar,Harry Harris,FRC,March,3,Y,Y,14-06-2018,14-06-2018,17-06-2018,22-06-2018,23-06-2018,28-06-2018,1,9,3,13,4,4,21,23,24554189,25567418,30-06-2018,2
9,CTPT-3649,NA,APP-1008,Morgan-Gallegos,Pharmaceuticals,APPROVE,APPWF_BGNBB,Fresh,N,EAST,Adam Ross,RM6921,Jeffrey White,Christopher Hawkins,Harry Harris,BOD,March,7,N,N,29-01-2021,29-01-2021,29-01-2021,30-01-2021,30-01-2021,04-02-2021,10,10,2,22,4,2,28,30,15053140,15977209,05-02-2021,1
10,CTPT-3510,FCR-833,APP-1009,"Reyes, Richardson and Mays",IT Services,APPROVE,APPWF_BGNBB,Restructuring,Y,EAST,Renee Burke,RM6115,Monica Richardson,Karen Nelson,Harry Harris,FRC,September,2,N,Y,20-12-2022,20-12-2022,22-12-2022,27-12-2022,28-12-2022,28-12-2022,4,7,4,15,1,1,17,19,22529010,26909402,31-12-2022,3
11,CTPT-8730,FCR-544,APP-1010,Strickland PLC,Retail,REJECT,APPWF_RSTBB,Restructuring,N,NORTH,Kimberly Gillespie,RM3086,Leonard Young,Alexander Ramirez,John Weeks,JDC,May,7,N,Y,19-02-2022,20-02-2022,22-02-2022,23-02-2022,NA,NA,10,6,10,26,3,5,34,36,53146479,55166313,NA,NA
12,CTPT-6284,NA,APP-1011,Hunter Ltd,IT Services,APPROVE,APPWF_BGNBB,Renewal,N,CENTRAL,Kimberly Gillespie,RM6269,Stephanie Pearson,Teresa Aguilar,Joseph Hicks,JDC,September,8,Y,Y,23-11-2024,23-11-2024,23-11-2024,28-11-2024,28-11-2024,30-11-2024,6,3,1,10,3,2,15,16,45306367,48021544,30-11-2024,0
13,CTPT-1647,NA,APP-1012,Ross-Campbell,Education,APPROVE,APPWF_BGNBB,Fresh,Y,CENTRAL,Andrea Brown,RM3246,Jeffrey White,Teresa Aguilar,Joan Barry,BOD,January,6,Y,N,05-12-2019,05-12-2019,08-12-2019,08-12-2019,09-12-2019,14-12-2019,5,6,7,18,4,2,24,27,86991514,87356940,16-12-2019,2
14,CTPT-9881,NA,APP-1013,Sullivan and Sons,Textiles,APPROVE,APPWF_BGNBB,Restructuring,Y,CENTRAL,Stephen Singh,RM3515,Carlos Wilson,Teresa Aguilar,Joseph Hicks,JDC,August,3,Y,Y,01-07-2021,02-07-2021,03-07-2021,07-07-2021,09-07-2021,13-07-2021,6,3,5,14,4,2,20,22,98696149,99898615,13-07-2021,0
15,CTPT-2992,FCR-447,APP-1014,Garza Ltd,Textiles,APPROVE,APPWF_RNWBB,Restructuring,Y,EAST,Howard Myers,RM6336,Taylor James,Karen Nelson,John Weeks,ZCC,February,8,Y,Y,10-01-2024,11-01-2024,13-01-2024,13-01-2024,13-01-2024,17-01-2024,4,10,4,18,2,1,21,21,13026616,17887540,19-01-2024,2
16,CTPT-7800,FCR-155,APP-1015,"Blackburn, Dawson and White",IT Services,PENDING,APPWF_RNWBB,Fresh,Y,NORTH,Jonathan Daniel,RM6987,Carlos Wilson,Karen Nelson,John Weeks,ZCC,May,4,Y,Y,20-05-2019,20-05-2019,21-05-2019,25-05-2019,NA,NA,10,2,1,13,1,4,18,21,26712569,30495117,NA,NA
17,CTPT-6663,NA,APP-1016,"Parker, Carroll and Ellis",Pharmaceuticals,REJECT,APPWF_RSTBB,Fresh,Y,EAST,Sarah Weaver,RM5188,Jeffrey White,Shannon Jackson,Joseph Hicks,ZCC,March,10,N,N,26-10-2024,28-10-2024,28-10-2024,01-11-2024,NA,NA,5,3,3,11,3,5,19,19,31609700,31287526,NA,NA
18,CTPT-8994,NA,APP-1017,Page PLC,Construction,REJECT,APPWF_RSTBB,Restructuring,N,CENTRAL,Howard Myers,RM8438,Chris Carr,Alexander Ramirez,Joan Barry,ZCC,October,1,N,Y,08-09-2023,08-09-2023,10-09-2023,11-09-2023,NA,NA,4,2,8,14,5,4,23,26,77476753,80337983,NA,NA
19,CTPT-5288,NA,APP-1018,"Alexander, Barrett and Shelton",Retail,PENDING,APPWF_RNWBB,Fresh,N,NORTH,Stephen Singh,RM8302,Matthew Horn,Alexander Ramirez,John Weeks,FRC,February,1,Y,N,21-06-2023,23-06-2023,25-06-2023,27-06-2023,NA,NA,4,2,3,9,1,5,15,15,61960891,62338544,NA,NA
20,CTPT-1417,NA,APP-1019,Owen Ltd,Retail,REJECT,APPWF_RSTBB,Restructuring,Y,NORTH,Sandy Gutierrez,RM2147,Scott Fox,Christopher Hawkins,John Weeks,JDC,March,2,N,Y,30-04-2020,01-05-2020,02-05-2020,02-05-2020,NA,NA,1,2,6,9,4,2,15,15,90092500,93949211,NA,NA
21,CTPT-1076,NA,APP-1020,Morris Group,Automobile,PENDING,APPWF_RNWBB,Renewal,N,SOUTH,Renee Burke,RM4529,Scott Fox,Alexander Ramirez,John Weeks,BOD,July,3,Y,Y,12-11-2020,13-11-2020,16-11-2020,19-11-2020,NA,NA,1,7,4,12,3,2,17,18,99598258,99181706,NA,NA
22,CTPT-3585,NA,APP-1021,Byrd-Clark,Construction,APPROVE,APPWF_RNWBB,Fresh,N,EAST,Jonathan Daniel,RM9218,Lisa Patel,Alexander Ramirez,Joseph Hicks,FRC,May,5,N,N,22-11-2024,24-11-2024,25-11-2024,26-11-2024,29-11-2024,01-12-2024,6,2,6,14,1,2,17,20,48464341,49219077,01-12-2024,0
23,CTPT-1972,NA,APP-1022,Nelson Ltd,Manufacturing,APPROVE,APPWF_RSTBB,Renewal,N,EAST,Douglas Mccarthy,RM8131,Lisa Patel,Shannon Jackson,Joseph Hicks,ZCC,June,5,N,N,25-09-2024,26-09-2024,29-09-2024,02-10-2024,04-10-2024,05-10-2024,3,6,1,10,2,3,15,16,73821341,74778768,07-10-2024,2
24,CTPT-9858,NA,APP-1023,"Brown, Jones and Walker",Education,PENDING,APPWF_RSTBB,Restructuring,Y,EAST,Sandy Gutierrez,RM6297,Lisa Patel,Shannon Jackson,Joseph Hicks,ZCC,November,8,N,N,11-01-2021,13-01-2021,13-01-2021,16-01-2021,NA,NA,4,7,3,14,5,4,23,24,11453801,12164568,NA,NA
25,CTPT-7738,NA,APP-1024,Dawson PLC,Construction,PENDING,APPWF_BGNBB,Fresh,N,EAST,Jon Wiggins,RM2958,James Scott,Christopher Hawkins,Joseph Hicks,ZCC,April,8,Y,N,09-04-2020,10-04-2020,11-04-2020,16-04-2020,NA,NA,3,1,6,10,5,5,20,20,18092068,18889209,NA,NA
26,CTPT-4091,NA,APP-1025,"Webster, King and Stevens",IT Services,APPROVE,APPWF_RSTBB,Renewal,N,SOUTH,Douglas Mccarthy,RM2448,Tammy Moody,Christopher Hawkins,Harry Harris,ZCC,June,10,Y,N,15-03-2018,15-03-2018,17-03-2018,17-03-2018,18-03-2018,22-03-2018,5,10,10,25,5,5,35,36,16545668,18854305,22-03-2018,0
27,CTPT-9362,NA,APP-1026,King-Green,IT Services,REJECT,APPWF_RNWBB,Renewal,N,SOUTH,John Day,RM4638,Tammy Moody,Christopher Hawkins,Joseph Hicks,ZCC,December,10,Y,N,27-10-2022,27-10-2022,29-10-2022,29-10-2022,NA,NA,7,7,4,18,1,2,21,23,12841159,15112458,NA,NA
28,CTPT-5523,NA,APP-1027,Giles-Diaz,IT Services,PENDING,APPWF_RNWBB,Renewal,N,NORTH,Sandy Gutierrez,RM1258,Jill Mcintosh,Karen Nelson,John Weeks,FRC,January,1,Y,Y,10-02-2022,12-02-2022,15-02-2022,15-02-2022,NA,NA,5,3,7,15,3,5,23,25,49089290,50560089,NA,NA
29,CTPT-9514,NA,APP-1028,Watson-Williams,Education,REJECT,APPWF_RSTBB,Renewal,Y,NORTH,Joseph Ford,RM8037,Jeffrey White,Shannon Jackson,John Weeks,JDC,July,7,N,Y,18-05-2024,19-05-2024,19-05-2024,21-05-2024,NA,NA,1,7,2,10,3,5,18,18,24425511,24148032,NA,NA
30,CTPT-1607,NA,APP-1029,Campbell and Sons,Automobile,REJECT,APPWF_RNWBB,Fresh,Y,CENTRAL,Jonathan Daniel,RM9771,Lisa Patel,Karen Nelson,John Weeks,BOD,November,4,Y,N,01-10-2024,03-10-2024,04-10-2024,06-10-2024,NA,NA,10,2,1,13,4,3,20,21,20782800,22308644,NA,NA
31,CTPT-8076,NA,APP-1030,Brewer Ltd,Education,PENDING,APPWF_RSTBB,Fresh,Y,WEST,Deanna Jones,RM3555,Leonard Young,Christopher Hawkins,Joseph Hicks,JDC,March,7,N,N,16-06-2021,16-06-2021,18-06-2021,20-06-2021,NA,NA,4,10,5,19,3,4,26,27,97051315,100636408,NA,NA
32,CTPT-7162,NA,APP-1031,"Acevedo, Garza and Larson",IT Services,REJECT,APPWF_BGNBB,Renewal,N,EAST,John Day,RM4690,Keith Kramer,Shannon Jackson,Richard Ferguson,FRC,January,7,Y,N,05-03-2023,06-03-2023,08-03-2023,10-03-2023,NA,NA,10,8,4,22,4,3,29,30,24679769,26093774,NA,NA
33,CTPT-2915,NA,APP-1032,Martinez-Miller,Education,PENDING,APPWF_RNWBB,Restructuring,Y,SOUTH,Renee Burke,RM1002,Scott Aguilar,Teresa Aguilar,John Weeks,JDC,May,1,N,Y,11-09-2020,13-09-2020,15-09-2020,20-09-2020,NA,NA,1,8,3,12,4,1,17,18,55628594,56496191,NA,NA
