Sr_No,Cust_ID,FCC_FCR_ID,Application_No,Cust_Name,Segment,Application_Status,Type_of_Workflow,Type_of_case,Proj_Finance (Y/N),Zone,RM_Name,RM_ID,Analyst_Name,RBH_Name,RCH_Name,JD/Committee,Final_Approval_Month,#_Iterations,Business_Supervisory_Review_(Y/N),Credit_Supervisory_Review_(Y/N),Date_of_Input,Date_of_Login,Date_of_Circulation,Date_of_BH_Approval,Date_of_CH_Approval,Date_of_Final_Approval,CAM_Creation_TAT,Credit_Review_TAT,Business_Review_TAT,Total_Review_TAT,Committee_TAT,RM_TAT,Final_TAT,Overall_TAT,Current_Exposure,Proposed_Exposure,CAM_Finalization_InDate,CAM_Finalization_TAT
1,CTPT-6498,FCR-251,APP-1000,Humphrey-Sanchez,Education,REJECT,APPWF_BGNBB,Restructuring,N,EAST,Selena Hughes,RM1085,Christy Sanchez,Ralph Horton,Jeffrey Phillips,BOD,December,3,N,Y,01-02-2018,02-02-2018,02-02-2018,03-02-2018,NA,NA,6,6,6,18,1,2,21,22,63687343,65505050,NA,NA
2,CTPT-7770,NA,APP-1001,Chan Inc,Automobile,REJECT,APPWF_RNWBB,Renewal,Y,WEST,Shannon Clark,RM7138,Ronald Evans,Justin Myers,Jennifer Sullivan,JDC,July,3,N,Y,11-03-2021,11-03-2021,14-03-2021,14-03-2021,NA,NA,8,4,4,16,2,1,19,22,39807556,41419234,NA,NA
3,CTPT-6755,NA,APP-1002,"Rivera, Avila and Mccormick",Retail,REJECT,APPWF_BGNBB,Renewal,N,NORTH,Scott Martin,RM3355,Max Sanders,Adam Moreno,Rachel Contreras,JDC,December,6,N,N,10-12-2023,10-12-2023,12-12-2023,12-12-2023,NA,NA,8,5,10,23,3,1,27,29,76922415,77743243,NA,NA
4,CTPT-7682,NA,APP-1003,Kelley-Stewart,Pharmaceuticals,PENDING,APPWF_RSTBB,Restructuring,Y,WEST,Wendy Haynes,RM4507,Christy Sanchez,Michael Terry,Dana Vargas,FRC,March,6,Y,N,21-10-2022,23-10-2022,26-10-2022,28-10-2022,NA,NA,6,6,6,18,5,3,26,29,34482252,35177578,NA,NA
5,CTPT-7745,NA,APP-1004,Pham and Sons,Education,REJECT,APPWF_BGNBB,Restructuring,N,EAST,Jeffrey Wallace,RM4396,James King,Justin Myers,Rachel Contreras,BOD,April,1,Y,N,26-07-2021,26-07-2021,26-07-2021,26-07-2021,NA,NA,7,3,9,19,5,4,28,30,90117513,90948368,NA,NA
6,CTPT-6869,NA,APP-1005,Chang PLC,Education,PENDING,APPWF_BGNBB,Renewal,Y,SOUTH,Christopher Ellis,RM2056,Corey Johnson,Michael Terry,Jeffrey Phillips,FRC,October,3,N,Y,23-09-2023,24-09-2023,26-09-2023,30-09-2023,NA,NA,2,5,5,12,1,3,16,17,59122741,59763299,NA,NA
7,CTPT-7473,NA,APP-1006,Lopez and Sons,Construction,PENDING,APPWF_BGNBB,Restructuring,N,CENTRAL,Wendy Haynes,RM9899,Willie Lewis,Justin Myers,Stephen Hess,JDC,May,1,Y,N,22-02-2018,22-02-2018,24-02-2018,01-03-2018,NA,NA,9,8,5,22,4,3,29,32,41165821,44213323,NA,NA
8,CTPT-2441,FCR-994,APP-1007,"Clark, Porter and Jones",Retail,APPROVE,APPWF_BGNBB,Renewal,N,CENTRAL,Gary Murphy,RM9017,Kathleen Stanley,Justin Myers,Rachel Contreras,ZCC,March,2,Y,N,14-12-2022,15-12-2022,15-12-2022,18-12-2022,19-12-2022,23-12-2022,6,7,4,17,1,2,20,23,7866187,9071878,24-12-2022,1
9,CTPT-9540,FCR-371,APP-1008,"Ryan, Villegas and Mcmahon",Textiles,APPROVE,APPWF_RNWBB,Renewal,Y,CENTRAL,Savannah Watts,RM1589,Ronald Evans,Adam Moreno,Stephen Hess,BOD,March,5,Y,N,28-11-2023,29-11-2023,29-11-2023,29-11-2023,29-11-2023,03-12-2023,3,1,5,9,2,1,12,13,12738022,13978160,06-12-2023,3
10,CTPT-6677,NA,APP-1009,"Booth, Conley and Ellis",Automobile,REJECT,APPWF_RNWBB,Fresh,N,CENTRAL,Wendy Haynes,RM1091,Shannon White,Michael Terry,Jennifer Sullivan,ZCC,May,2,Y,N,05-10-2021,06-10-2021,09-10-2021,12-10-2021,NA,NA,1,8,7,16,1,2,19,22,76650736,77793171,NA,NA
